rank,uri,artist_names,artist_names_1,artist_names_2,artist_names_3,artist_names_4,artist_names_5,artist_names_6,artist_names_7,artist_names_8,artist_names_9,artist_names_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week
170,spotify:track:1rfofaqEpACxVEHIZBJe6W,"Camila Cabello, Young Thug",Camila Cabello,Young Thug,,,,,,,,,Havana (feat. Young Thug),Syco Music/Epic,2,191,65,1618576,Autumn,October,4
171,spotify:track:1BuZAIO8WZpavWVbbq3Lci,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",Rae Sremmurd,Swae Lee,Slim Jxmmi,Juicy J,,,,,,,Powerglide (feat. Juicy J) - From SR3MM,Mike WiLL Made-It,17,187,35,1610000,Autumn,October,4
172,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,The Weeknd,,,,,,,,,,Call Out My Name,Universal Republic Records,1,170,31,1605687,Autumn,October,4
173,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Imagine Dragons,,,,,,,,,,Believer,Kid Ina Korner / Interscope,11,176,91,1603311,Autumn,October,4
174,spotify:track:5BbdKBZO0TH0GhfxUfyhL9,Lil Baby,Lil Baby,,,,,,,,,,Freestyle,Quality Control Music (Caroline),161,190,5,1600350,Autumn,October,4
175,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,21 Savage,21 Savage,,,,,,,,,,Bank Account,"Slaughter Gang, LLC/Epic Records",1,189,69,1598488,Autumn,October,4
176,spotify:track:7ATATJztoWLcqDAcVVof0C,"6ix9ine, Anuel AA",6ix9ine,Anuel AA,,,,,,,,,BEBE,"Scumgang Records/TenThousand Projects, LLC",44,167,9,1592196,Autumn,October,4
177,spotify:track:0dSIrRkA4PadGll16TgbnV,"Famous Dex, A$AP Rocky",Famous Dex,A$AP Rocky,,,,,,,,,PICK IT UP (feat. A$AP Rocky),300 Entertainment,14,177,53,1587140,Autumn,October,4
178,spotify:track:5HeKOKc4phmLn8e4I7EkzD,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,My Blood,Fueled By Ramen,60,146,5,1585546,Autumn,October,4
179,spotify:track:2BJSMvOGABRxokHKB0OI8i,"Playboi Carti, Lil Uzi Vert",Playboi Carti,Lil Uzi Vert,,,,,,,,,Shoota (feat. Lil Uzi Vert),AWGE Label,27,192,25,1568585,Autumn,October,4
180,spotify:track:55GiOwtxNajXVbpjjIzMnD,Tyga,Tyga,,,,,,,,,,SWISH,Last Kings Music / EMPIRE,32,199,14,1563330,Autumn,October,4
181,spotify:track:2bSk87AVkCIIC3Bcligq1z,"Lil Baby, Gunna, Lil Uzi Vert",Lil Baby,Gunna,Lil Uzi Vert,,,,,,,,Life Goes On,"Quality Control Music, LLC",105,188,24,1558361,Autumn,October,4
182,spotify:track:3ngc7rGlfeFaskU90EWl4R,Lauren Daigle,Lauren Daigle,,,,,,,,,,You Say,Centricity Music/Warner Records,138,179,6,1547290,Autumn,October,4
183,spotify:track:6SPYOjTjqvidDI24Hy9lwX,"Tory Lanez, Meek Mill",Tory Lanez,Meek Mill,,,,,,,,,DrIP DrIp Drip (feat. Meek Mill),Mad Love/Interscope Records,183,194,2,1546139,Autumn,October,4
184,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,Kane Brown,,,,,,,,,,Heaven,RCA Records Label Nashville,60,174,42,1545872,Autumn,October,4
185,spotify:track:04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,Bebe Rexha,,,,,,,,,,I'm a Mess,Warner Bros.,74,182,19,1539397,Autumn,October,4
186,spotify:track:13H2hdEQe1gZZZhtBK9xcq,"Rich The Kid, YG",Rich The Kid,YG,,,,,,,,,Mo Paper,Rich The Kid / (TDE/ISR PS),186,-1,1,1533111,Autumn,October,4
187,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",The Chainsmokers,Halsey,,,,,,,,,Closer,Disruptor Records/Columbia,4,-1,75,1526851,Autumn,October,4
188,spotify:track:4VMiNOpnjRwSCwmHaUfOMM,"Future, Juice WRLD",Future,Juice WRLD,,,,,,,,,Realer N Realer,Epic/Freebandz/Grade A/Interscope,80,80,2,1524833,Autumn,October,4
189,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Daniel Caesar,H.E.R.,,,,,,,,,Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,160,184,22,1522917,Autumn,October,4
190,spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Marshmello, Khalid",Marshmello,Khalid,,,,,,,,,Silence,Joytime Collective/RCA Records,10,181,60,1514620,Autumn,October,4
191,spotify:track:575NJxNUVDqwJGdzBrlLbv,"Shawn Mendes, Zedd",Shawn Mendes,Zedd,,,,,,,,,Lost In Japan - Remix,Island Records,22,-1,11,1506529,Autumn,October,4
192,spotify:track:4at3d5QWnlibMVN75ECDrp,"6LACK, J. Cole",6LACK,J. Cole,,,,,,,,,Pretty Little Fears (feat. J. Cole),LVRN Records,60,161,4,1501620,Autumn,October,4
193,spotify:track:2UVbBKQOdFAekPTRsnkzcf,Migos,Migos,,,,,,,,,,Stir Fry,"Quality Control Music, LLC",2,-1,44,1499434,Autumn,October,4
194,spotify:track:0xxZY5C9xxij3D1HkzbnfC,"Bobby ""Boris"" Pickett, The Crypt-Kickers","Bobby ""Boris"" Pickett",The Crypt-Kickers,,,,,,,,,Monster Mash,Decca Music Group Ltd.,188,-1,2,1492086,Autumn,October,4
195,spotify:track:6KBYefIoo7KydImq1uUQlL,Cardi B,Cardi B,,,,,,,,,,Bodak Yellow,Atlantic/KSR,3,-1,64,1483546,Autumn,October,4
196,spotify:track:5tz69p7tJuGPeMGwNTxYuV,"Logic, Alessia Cara, Khalid",Logic,Alessia Cara,Khalid,,,,,,,,1-800-273-8255,Def Jam Recordings,1,198,79,1482065,Autumn,October,4
197,spotify:track:4H7WNRErSbONkM06blBoGc,Post Malone,Post Malone,,,,,,,,,,Stay,Republic Records,6,196,25,1481206,Autumn,October,4
198,spotify:track:6nO3tr47nr2P7f3hXb8JIo,"NAV, Travis Scott",NAV,Travis Scott,,,,,,,,,Champion (feat. Travis Scott),Republic Records,60,-1,21,1480555,Autumn,October,4
199,spotify:track:0Y9D1Bc4fAkeZnVsGKdij6,Joji,Joji,,,,,,,,,,WANTED U,88rising Music/Warner Records,199,-1,1,1475462,Autumn,October,4
200,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",Kendrick Lamar,SZA,,,,,,,,,All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,193,43,1471106,Autumn,October,4
1,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,Ariana Grande,,,,,,,,,,"thank u, next",Republic Records,1,-1,1,22461370,Autumn,November,5
2,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Sheck Wes,,,,,,,,,,Mo Bamba,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,1,1,15,11193239,Autumn,November,5
3,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,Travis Scott,,,,,,,,,,SICKO MODE,Cactus Jack / Epic / Grand Hustle,1,3,14,9906226,Autumn,November,5
4,spotify:track:7l3E7lcozEodtVsSTCkcaA,"Kodak Black, Offset, Travis Scott",Kodak Black,Offset,Travis Scott,,,,,,,,ZEZE (feat. Travis Scott & Offset),Atlantic Records,1,2,4,9748682,Autumn,November,5
5,spotify:track:1A6OTy97kk0mMdm78rHsm8,"Post Malone, Swae Lee",Post Malone,Swae Lee,,,,,,,,,Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,2,4,3,9376246,Autumn,November,5
6,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Lil Baby,Gunna,,,,,,,,,Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,5,8,9000514,Autumn,November,5
7,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Halsey,,,,,,,,,,Without Me,Capitol Records,6,7,5,8759325,Autumn,November,5
8,spotify:track:2LskIZrCeLxRvCiGP8gxlh,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",XXXTENTACION,Lil Pump,Swae Lee,Maluma,,,,,,,Arms Around You (feat. Maluma & Swae Lee),Warner Records,6,6,2,6880628,Autumn,November,5
9,spotify:track:0s3nnoMeVWz3989MkNQiRf,Juice WRLD,Juice WRLD,,,,,,,,,,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,10,27,6857720,Autumn,November,5
10,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B",DJ Snake,Selena Gomez,Ozuna,Cardi B,,,,,,,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",7,9,6,6676190,Autumn,November,5
11,spotify:track:43lYaovU2FoeuBMNusVVVW,"Metro Boomin, 21 Savage",Metro Boomin,21 Savage,,,,,,,,,10 Freaky Girls (with 21 Savage),Republic Records,11,-1,1,6572352,Autumn,November,5
12,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Marshmello,Bastille,,,,,,,,,Happier,Astralwerks,8,11,12,6422574,Autumn,November,5
13,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",Bad Bunny,Drake,,,,,,,,,MIA (feat. Drake),OVO Sound/Warner Records,2,8,4,6247512,Autumn,November,5
14,spotify:track:14JzyD6FlBD5z0wV5P07YI,Billie Eilish,Billie Eilish,,,,,,,,,,when the party's over,Darkroom/Interscope Records,13,13,4,6223972,Autumn,November,5
15,spotify:track:1m6lqaLvUTxPjOo98fJH8U,"Metro Boomin, 21 Savage",Metro Boomin,21 Savage,,,,,,,,,Don't Come Out The House (with 21 Savage),Republic Records,15,-1,1,5885731,Autumn,November,5
16,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,"Gucci Mane, Bruno Mars, Kodak Black",Gucci Mane,Bruno Mars,Kodak Black,,,,,,,,Wake Up in the Sky,Guwop Enterprises/Atlantic,6,21,8,5870891,Autumn,November,5
17,spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Khalid,,,,,,,,,,Better,"Right Hand Music Group, LLC/RCA Records",9,12,8,5793484,Autumn,November,5
18,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,XXXTENTACION,,,,,,,,,,SAD!,"Bad Vibes Forever, LLC",1,15,36,5740278,Autumn,November,5
19,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,XXXTENTACION,,,,,,,,,,Moonlight,"Bad Vibes Forever, LLC",3,16,34,5331531,Autumn,November,5
20,spotify:track:5gub2bpJRgJP4m4MliqtdV,"Metro Boomin, Gunna",Metro Boomin,Gunna,,,,,,,,,Space Cadet (feat. Gunna),Republic Records,20,-1,1,5280511,Autumn,November,5
21,spotify:track:5274I4mUMnYczyeXkGDWZN,"Future, Juice WRLD",Future,Juice WRLD,,,,,,,,,Fine China,Epic/Freebandz/Grade A/Interscope,6,14,4,5196717,Autumn,November,5
22,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Post Malone,,,,,,,,,,Better Now,Republic Records,1,20,28,5161955,Autumn,November,5
23,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Drake,,,,,,,,,,Nonstop,Cash Money/Drake LP6,1,18,19,5013292,Autumn,November,5
24,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,"Lil Baby, Gunna, Drake",Lil Baby,Gunna,Drake,,,,,,,,"Never Recover (Lil Baby & Gunna, Drake)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",3,19,5,4994229,Autumn,November,5
25,spotify:track:14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Flipp Dinero,,,,,,,,,,Leave Me Alone,Cinematic/Epic/We The Best,25,26,13,4980922,Autumn,November,5
26,spotify:track:2GGMabyHXnJmjY6CXhhB2e,Cardi B,Cardi B,,,,,,,,,,Money,Atlantic/KSR,17,17,3,4756659,Autumn,November,5
27,spotify:track:0Dn40gxVCMo5TkgS8Ik18Q,"Lil Peep, XXXTENTACION",Lil Peep,XXXTENTACION,,,,,,,,,Falling Down - Bonus Track,Columbia,1,23,8,4682790,Autumn,November,5
28,spotify:track:2E124GmJRnBJuXbTb4cPUB,"6ix9ine, Nicki Minaj, Murda Beatz",6ix9ine,Nicki Minaj,Murda Beatz,,,,,,,,FEFE,"Scumgang Records/TenThousand Projects, LLC",2,22,16,4604314,Autumn,November,5
29,spotify:track:2mYDDUkBcgFNBqkWctyyuc,"Metro Boomin, Travis Scott",Metro Boomin,Travis Scott,,,,,,,,,Overdue (with Travis Scott),Republic Records,29,-1,1,4528743,Autumn,November,5
30,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Lady Gaga,Bradley Cooper,,,,,,,,,Shallow,A Star is Born OST,11,25,6,4290119,Autumn,November,5
31,spotify:track:6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Lil Mosey,,,,,,,,,,Noticed,Mogul Vision/Interscope Records,20,24,12,4284395,Autumn,November,5
32,spotify:track:1HLL8X0LH20F6Z9SLXLIjr,"Metro Boomin, Travis Scott, Kodak Black, 21 Savage",Metro Boomin,Travis Scott,Kodak Black,21 Savage,,,,,,,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",Republic Records,32,-1,1,4270269,Autumn,November,5
33,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Tyga,Offset,,,,,,,,,Taste (feat. Offset),Last Kings Music / EMPIRE,4,28,25,4242512,Autumn,November,5
34,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Lil Baby,Drake,,,,,,,,,Yes Indeed,"Quality Control Music, LLC",2,29,26,4154098,Autumn,November,5
35,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,XXXTENTACION,,,,,,,,,,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,32,63,4106056,Autumn,November,5
36,spotify:track:4S8d14HvHb70ImctNgVzQQ,"Kanye West, Lil Pump",Kanye West,Lil Pump,,,,,,,,,I Love It (& Lil Pump),"Getting Out Our Dreams, Inc./Def Jam Recordings",1,27,9,4091276,Autumn,November,5
37,spotify:track:6osMzmRHCVETbZMHceLRmh,"Metro Boomin, Swae Lee, Travis Scott",Metro Boomin,Swae Lee,Travis Scott,,,,,,,,Dreamcatcher (feat. Swae Lee & Travis Scott),Republic Records,37,-1,1,3953109,Autumn,November,5
38,spotify:track:0d2iYfpKoM0QCKvcLCkBao,"benny blanco, Halsey, Khalid",benny blanco,Halsey,Khalid,,,,,,,,Eastside (with Halsey & Khalid),Benny Blanco Solo Album PS,10,34,17,3887809,Autumn,November,5
39,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,Drake,,,,,,,,,,In My Feelings,Cash Money/Drake LP6,1,31,19,3658804,Autumn,November,5
40,spotify:track:5qHirGR7M9tdm6C17DlzSY,Amine,Amine,,,,,,,,,,REEL IT IN,Republic Records,40,56,9,3648099,Autumn,November,5
41,spotify:track:04MLEeAMuV9IlHEsD8vF6A,"French Montana, Drake",French Montana,Drake,,,,,,,,,No Stylist (feat. Drake),Epic,21,30,7,3643279,Autumn,November,5
42,spotify:track:4OafepJy2teCjYJbvFE60J,Ariana Grande,Ariana Grande,,,,,,,,,,breathin,Republic Records,5,91,12,3609729,Autumn,November,5
43,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",XXXTENTACION,Trippie Redd,,,,,,,,,Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,40,63,3597917,Autumn,November,5
44,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,New Patek,Generation Now/Atlantic,4,35,8,3559424,Autumn,November,5
45,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",Cardi B,Bad Bunny,J Balvin,,,,,,,,I Like It,Atlantic/KSR,3,33,31,3532000,Autumn,November,5
46,spotify:track:1fvCggAYrW0VtCljtqv4h2,Takeoff,Takeoff,,,,,,,,,,Last Memory,Quality Control Music/Motown Records/Capitol Records,46,51,2,3509532,Autumn,November,5
47,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,Juice WRLD,,,,,,,,,,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,42,29,3462976,Autumn,November,5
48,spotify:track:3tcnWNjEXyXCbFR9zonrX2,Trippie Redd,Trippie Redd,,,,,,,,,,Topanga,"TenThousand Projects, LLC",36,36,3,3396588,Autumn,November,5
49,spotify:track:5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,Zara Larsson,,,,,,,,,,Ruin My Life,Epic/Record Company TEN,49,93,3,3392946,Autumn,November,5
50,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,XXXTENTACION,,,,,,,,,,changes,"Bad Vibes Forever, LLC",7,43,36,3372628,Autumn,November,5
51,spotify:track:7tFiyTwD0nx5a1eklYtX2J,Queen,Queen,,,,,,,,,,Bohemian Rhapsody - Remastered 2011,Hollywood Records,51,168,2,3367322,Autumn,November,5
52,spotify:track:5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,Ariana Grande,,,,,,,,,,God is a woman,Republic Records,4,80,17,3327659,Autumn,November,5
53,spotify:track:29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,Juice WRLD,,,,,,,,,,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,46,24,3261722,Autumn,November,5
54,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,"YG, 2 Chainz, Big Sean, Nicki Minaj",YG,2 Chainz,Big Sean,Nicki Minaj,,,,,,,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",Def Jam Recordings,24,39,24,3260412,Autumn,November,5
55,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",Post Malone,21 Savage,,,,,,,,,rockstar (feat. 21 Savage),Republic Records,1,45,60,3190091,Autumn,November,5
56,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Post Malone,Ty Dolla $ign,,,,,,,,,Psycho (feat. Ty Dolla $ign),Republic Records,2,47,37,3141642,Autumn,November,5
57,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,Post Malone,,,,,,,,,,I Fall Apart,Universal Records,2,57,60,3092639,Autumn,November,5
58,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,"Lil Wayne, Kendrick Lamar",Lil Wayne,Kendrick Lamar,,,,,,,,,Mona Lisa (feat. Kendrick Lamar),"Young Money Records, Inc.",1,37,6,3087079,Autumn,November,5
59,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",Billie Eilish,Khalid,,,,,,,,,lovely (with Khalid),Darkroom,24,63,29,3073779,Autumn,November,5
60,spotify:track:1B4gJRq61xTs6r1O0Uq2iY,Takeoff,Takeoff,,,,,,,,,,Casper,Quality Control Music/Motown Records/Capitol Records,60,-1,1,3064086,Autumn,November,5
61,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Ava Max,,,,,,,,,,Sweet but Psycho,Atlantic Records,61,85,5,3001808,Autumn,November,5
62,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,Joji,,,,,,,,,,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,41,8,2998032,Autumn,November,5
63,spotify:track:60SdxE8apGAxMiRrpbmLY0,"Eminem, Joyner Lucas",Eminem,Joyner Lucas,,,,,,,,,Lucky You (feat. Joyner Lucas),Aftermath,1,48,10,2990877,Autumn,November,5
64,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,5 Seconds of Summer,,,,,,,,,,Youngblood,Capitol,17,60,30,2980326,Autumn,November,5
65,spotify:track:4AhSkRYioEIfGvCV19peYN,"Khalid, Empress Of",Khalid,Empress Of,,,,,,,,,Suncity (feat. Empress Of),"Right Hand Music Group, LLC/RCA Records",20,38,3,2950806,Autumn,November,5
66,spotify:track:4MAsYGSgxsaj73dC2lvFC4,Quavo,Quavo,,,,,,,,,,WORKIN ME,Quality Control Music/Motown Records/Capitol Records,33,54,13,2950173,Autumn,November,5
67,spotify:track:6CTWathupIiDs7U4InHnDA,Ella Mai,Ella Mai,,,,,,,,,,Trip,10 Summers / Interscope PS,39,53,10,2949972,Autumn,November,5
68,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,Drake,,,,,,,,,,God's Plan,Cash Money/Drake LP6,1,55,42,2944338,Autumn,November,5
69,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,High Hopes,DCD2 / Fueled By Ramen,45,68,21,2941403,Autumn,November,5
70,spotify:track:6rrTr2HEAzlpC4KWZxF3S1,"Little Mix, Nicki Minaj",Little Mix,Nicki Minaj,,,,,,,,,Woman Like Me (feat. Nicki Minaj),Syco Music,52,52,4,2922889,Autumn,November,5
71,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,Ariana Grande,,,,,,,,,,no tears left to cry,Republic Records,9,97,29,2838285,Autumn,November,5
72,spotify:track:2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Lady Gaga,,,,,,,,,,Always Remember Us This Way,A Star is Born OST,52,77,5,2775239,Autumn,November,5
73,spotify:track:27P4XoNXXEV4lTc3sB61RK,"Metro Boomin, Travis Scott, Young Thug",Metro Boomin,Travis Scott,Young Thug,,,,,,,,Up To Something (feat. Travis Scott & Young Thug),Republic Records,73,-1,1,2766436,Autumn,November,5
74,spotify:track:3tkFCUaISwablf9MJydsuB,"Metro Boomin, Gunna, Young Thug",Metro Boomin,Gunna,Young Thug,,,,,,,,Lesbian (feat. Gunna & Young Thug),Republic Records,74,-1,1,2668865,Autumn,November,5
75,spotify:track:6gzIcEUuswJQGfJNPYMjjv,"Future, Juice WRLD",Future,Juice WRLD,,,,,,,,,Hard Work Pays Off,Epic/Freebandz/Grade A/Interscope,31,49,3,2661286,Autumn,November,5
76,spotify:track:3wScL5W8H40zzCKN0atfBk,"Lil Wayne, Swizz Beatz",Lil Wayne,Swizz Beatz,,,,,,,,,Uproar,"Young Money Records, Inc.",4,61,6,2647928,Autumn,November,5
77,spotify:track:1jQvUmf16VE9WQCPuK2e8K,"6ix9ine, Bobby Shmurda",6ix9ine,Bobby Shmurda,,,,,,,,,STOOPID,"Scumgang Records/TenThousand Projects, LLC",9,44,5,2646059,Autumn,November,5
78,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",BlocBoy JB,Drake,,,,,,,,,Look Alive (feat. Drake),OVO Sound/Warner Records,3,69,39,2638750,Autumn,November,5
79,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Imagine Dragons,,,,,,,,,,Natural,Kid Ina Korner / Interscope,28,74,16,2637805,Autumn,November,5
80,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,XXXTENTACION,,,,,,,,,,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,15,72,63,2634832,Autumn,November,5
81,spotify:track:7wBJfHzpfI3032CSD7CE2m,Travis Scott,Travis Scott,,,,,,,,,,STARGAZING,Cactus Jack / Epic / Grand Hustle,3,66,14,2621359,Autumn,November,5
82,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Bazzi,Camila Cabello,,,,,,,,,Beautiful (feat. Camila Cabello),iamcosmic,30,58,14,2568910,Autumn,November,5
83,spotify:track:4edS9dC0JPBlSS4p4gMOT0,"The Chainsmokers, Kelsea Ballerini",The Chainsmokers,Kelsea Ballerini,,,,,,,,,This Feeling,Disruptor Records/Columbia,25,64,7,2560605,Autumn,November,5
84,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Maroon 5,Cardi B,,,,,,,,,Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,8,65,23,2555975,Autumn,November,5
85,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Offset,Metro Boomin,,,,,,,,,Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,79,54,2532646,Autumn,November,5
86,spotify:track:6qZANDqrSAvfuSjcxBP1PD,"Metro Boomin, Gucci Mane",Metro Boomin,Gucci Mane,,,,,,,,,10AM/Save The World (feat. Gucci Mane),Republic Records,86,-1,1,2531045,Autumn,November,5
87,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Travis Scott,Travis Scott,,,,,,,,,,YOSEMITE,Cactus Jack / Epic / Grand Hustle,7,71,14,2520309,Autumn,November,5
88,spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Ellie Goulding,Diplo,Swae Lee,,,,,,,,Close To Me (with Diplo) (feat. Swae Lee),Polydor Records,59,59,2,2501084,Autumn,November,5
89,spotify:track:0McI9sOmkpfd4E72njtU0G,"Metro Boomin, Swae Lee, Wizkid",Metro Boomin,Swae Lee,Wizkid,,,,,,,,Borrowed Love (feat. Swae Lee & WizKid),Republic Records,89,-1,1,2495499,Autumn,November,5
90,spotify:track:13hvHEstJ4sNbzdroPrPI3,"Dua Lipa, BLACKPINK",Dua Lipa,BLACKPINK,,,,,,,,,Kiss and Make Up,Warner Records,43,50,3,2444786,Autumn,November,5
91,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Drake,,,,,,,,,,Nice For What,Cash Money/Drake LP6,1,73,31,2427616,Autumn,November,5
92,spotify:track:4hXDobvUaXyDFLnmecoY0z,"Tyga, Nicki Minaj",Tyga,Nicki Minaj,,,,,,,,,Dip (feat. Nicki Minaj),Last Kings Music / EMPIRE,92,-1,1,2424370,Autumn,November,5
93,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Khalid,Normani,,,,,,,,,Love Lies (with Normani),RCA Records Label,9,78,38,2410528,Autumn,November,5
94,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,XO Tour Llif3,Generation Now/Atlantic,2,81,85,2376379,Autumn,November,5
95,spotify:track:3obgSF06ki98lYNLNq5vCB,"Juice WRLD, Lil Uzi Vert",Juice WRLD,Lil Uzi Vert,,,,,,,,,Wasted (feat. Lil Uzi Vert),Juice WRLD Mixtape / ISR P&D,20,75,17,2362469,Autumn,November,5
96,spotify:track:5sdb5pMhcK44SSLsj1moUh,"benny blanco, Calvin Harris",benny blanco,Calvin Harris,,,,,,,,,I Found You (with Calvin Harris),Benny Blanco Solo Album PS,96,-1,1,2340708,Autumn,November,5
97,spotify:track:0KPiSFlz5OUCgw7nwvhYWe,"Metro Boomin, J Balvin, Wizkid, Offset",Metro Boomin,J Balvin,Wizkid,Offset,,,,,,,"Only You (feat. WizKid, Offset & J Balvin)",Republic Records,97,-1,1,2288216,Autumn,November,5
98,spotify:track:2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,XXXTENTACION,,,,,,,,,,Hope,"Bad Vibes Forever, LLC",28,87,26,2269359,Autumn,November,5
99,spotify:track:2kJAhu7mesSEkML8zviSNX,"Metro Boomin, Travis Scott",Metro Boomin,Travis Scott,,,,,,,,,Only 1 (Interlude) (with Travis Scott),Republic Records,99,-1,1,2241541,Autumn,November,5
