rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week,genre
115,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,104,76,2182531,Spring,April,27,Rap/HipHop
116,spotify:track:4TWflhgevIGo448fWc6mQq,Offset,Red Room,Quality Control Music/Motown Records,22,78,8,2172965,Spring,April,27,Rap/HipHop
117,spotify:track:5SHhPFh68OhUmuRPymKX9d,FLETCHER,Undrunk,Capitol Records,82,89,5,2164476,Spring,April,27,Pop
118,spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Close To Me (with Diplo) (feat. Swae Lee),Polydor Records,33,110,24,2140975,Spring,April,27,Pop
119,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,101,51,2140188,Spring,April,27,Rap/HipHop
120,spotify:track:2MShy1GSSgbmGUxADNIao5,Kodak Black,Calling My Spirit,Atlantic Records,31,91,19,2132722,Spring,April,27,Rap/HipHop
121,spotify:track:51NFxnQvaosfDDutk0tams,Billie Eilish,bellyache,Darkroom,49,99,23,2132012,Spring,April,27,Alternative
122,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Tequila,Warner Records,60,120,56,2122344,Spring,April,27,Country
123,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,Juice WRLD,Fast,Grade A Productions/Interscope Records,8,59,5,2122058,Spring,April,27,Rap/HipHop
124,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",6,129,104,2105138,Spring,April,27,R&B/Soul
125,spotify:track:39xWBHPM4E9MwzEy5gbM7p,"Nipsey Hussle, YG",Last Time That I Checc'd (feat. YG),Atlantic Records,122,122,2,2091752,Spring,April,27,Rap/HipHop
126,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,112,85,2054713,Spring,April,27,Rap/HipHop
127,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,"Kehlani, Ty Dolla $ign",Nights Like This (feat. Ty Dolla $ign),TSNMI / Atlantic,21,111,13,2042659,Spring,April,27,R&B/Soul
128,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,30,123,96,2035888,Spring,April,27,Pop
129,spotify:track:4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,Shotta Flow,No Love Entertainment,115,115,4,2034108,Spring,April,27,Rap/HipHop
130,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,Generation Now/Atlantic,2,114,107,2020215,Spring,April,27,Rap/HipHop
131,spotify:track:4e4fqjx0Izh4svvTef1z7e,"Bebe Rexha, Florida Georgia Line",Meant to Be (feat. Florida Georgia Line),Warner Bros.,16,124,83,2018965,Spring,April,27,Pop
132,spotify:track:6GSkLS2y4ZnnZsuRAj975K,"Marshmello, Roddy Ricch",Project Dreams,Warner Records,82,119,15,2008803,Spring,April,27,Rap/HipHop
133,spotify:track:152lZdxL1OR0ZMW6KquMif,Khalid,Location,"Right Hand Music Group, LLC/RCA Records",9,134,117,1994291,Spring,April,27,R&B/Soul
134,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",Congratulations,Universal Records,5,121,120,1991139,Spring,April,27,Rap/HipHop
135,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Baila Baila Baila,Aura Music Corp.,100,116,10,1969907,Spring,April,27,Urbano Latino
136,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,Cash Money/Drake LP6,1,126,64,1962728,Spring,April,27,Rap/HipHop
137,spotify:track:6fIjnWrv46njJHLDAY2JdC,"Nipsey Hussle, Kendrick Lamar",Dedication (feat. Kendrick Lamar),Atlantic Records,117,117,2,1951615,Spring,April,27,Rap/HipHop
138,spotify:track:4SPu0Ql902hTVXkBoNIYtq,Ariana Grande,NASA,Republic Records,3,103,9,1943175,Spring,April,27,Pop
139,spotify:track:2gwkD6igEhQbDQegRCcdoB,DaBaby,Suge,South Coast Music Group/Interscope Records,139,166,2,1939370,Spring,April,27,Rap/HipHop
140,spotify:track:41MCdlvXOl62B7Kv86Bb1v,Juice WRLD,Empty,Grade A Productions/Interscope Records,13,97,5,1939050,Spring,April,27,Rap/HipHop
141,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Speechless,Warner Records,85,132,36,1934606,Spring,April,27,Country
142,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,Worth It,Def Jam Recordings,119,125,6,1933907,Spring,April,27,R&B/Soul
143,spotify:track:1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,needy,Republic Records,4,109,9,1914847,Spring,April,27,Pop
144,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,"benny blanco, Selena Gomez, J Balvin, Tainy","I Can?t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",NEON16/Friends Keep Secrets/Interscope Records,27,107,6,1900869,Spring,April,27,Pop
145,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",Look Alive (feat. Drake),OVO Sound/Warner Records,3,133,61,1899907,Spring,April,27,Rap/HipHop
146,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",7,127,28,1872163,Spring,April,27,Dance
147,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),iamcosmic,30,142,36,1861193,Spring,April,27,Pop
148,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",7,131,58,1834017,Spring,April,27,Rap/HipHop
149,spotify:track:3R9j8urSPiBbapNbyuSYkE,Nipsey Hussle,Grinding All My Life,Atlantic Records,138,138,3,1822973,Spring,April,27,Rap/HipHop
150,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - Remastered 2011,Hollywood Records,102,135,19,1810085,Spring,April,27,Rock
151,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,Aftermath,1,150,105,1804236,Spring,April,27,Rap/HipHop
152,spotify:track:74lnM5V6ecvoTPV0fvptx9,"Ski Mask The Slump God, Juice WRLD",Nuketown (feat. Juice WRLD),Republic Records,18,130,19,1799376,Spring,April,27,Rap/HipHop
153,spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj,Daya,Insomnia,Interscope Records,153,182,2,1795591,Spring,April,27,Pop
154,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,iamcosmic,4,157,65,1773743,Spring,April,27,Pop
155,spotify:track:01DOm09B2AbiTARAbXVI6g,"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),Top Dawg Entertainment/Interscope Records,155,-1,1,1768936,Spring,April,27,Rap/HipHop
156,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,16,149,120,1767869,Spring,April,27,Rap/HipHop
157,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,68,137,45,1764414,Spring,April,27,R&B/Soul
158,spotify:track:25F6MWrnFBCXVnpN4n76EK,Logic,Keanu Reeves,Def Jam Recordings,13,128,12,1762324,Spring,April,27,Rap/HipHop
159,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,Roc Nation Records LLC,65,145,95,1761784,Spring,April,27,Rap/HipHop
160,spotify:track:5W83ErFkO3aKAIS1WMi6u0,"Anuel AA, KAROL G",Secreto,Anuel AA & Karol G - Secreto,92,140,12,1715777,Spring,April,27,Urbano Latino
161,spotify:track:4NBTZtAt1F13VvlSKe6KTl,"The Chainsmokers, Kelsea Ballerini",This Feeling,Disruptor Records/Columbia,25,147,28,1707496,Spring,April,27,Dance
162,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Love Lies (with Normani),RCA Records Label,9,173,60,1700011,Spring,April,27,Pop
163,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Travis Scott,YOSEMITE,Cactus Jack / Epic / Grand Hustle,7,143,36,1695940,Spring,April,27,Rap/HipHop
164,spotify:track:3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,144,46,1694622,Spring,April,27,Rap/HipHop
165,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What,Cash Money/Drake LP6,1,161,53,1690228,Spring,April,27,Rap/HipHop
166,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,8,158,45,1674551,Spring,April,27,Pop
167,spotify:track:5274I4mUMnYczyeXkGDWZN,"Future, Juice WRLD",Fine China,Epic/Freebandz/Grade A/Interscope,6,152,26,1669455,Spring,April,27,Rap/HipHop
168,spotify:track:2qG5sZ7Si6sdK74qLxedYM,"ROSAL?A, J Balvin, El Guincho",Con Altura,Columbia,136,136,2,1667149,Spring,April,27,Urbano Latino
169,spotify:track:4n7jnSxVLd8QioibtTDBDq,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,MER Recordings,169,-1,1,1665408,Spring,April,27,Dance
170,spotify:track:7DHApOHsIFo7EyfieArYGE,P!nk,Walk Me Home,RCA Records Label,130,163,7,1664078,Spring,April,27,Pop
171,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,no tears left to cry,Republic Records,9,160,51,1658481,Spring,April,27,Pop
172,spotify:track:1KVczjazCcCCgM3gXXUl47,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie),Friends Keep Secrets/Interscope Records,46,153,18,1658387,Spring,April,27,Pop
173,spotify:track:4dTiQezDWmEOWcdCbWVWMp,ScHoolboy Q,Numb Numb Juice,Top Dawg Entertainment/Interscope Records,23,118,4,1649533,Spring,April,27,Rap/HipHop
174,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings,Cash Money/Drake LP6,1,164,41,1648767,Spring,April,27,Rap/HipHop
175,spotify:track:3wLtYwtqvKK2ewelSVPeDK,Roddy Ricch,Die Young,Bird Vision Entertainment,146,146,2,1645494,Spring,April,27,Rap/HipHop
176,spotify:track:4iVD0fTHGxV9JWloujsL3s,"Nipsey Hussle, Belly, Dom Kennedy",Double Up (feat. Belly and Dom Kennedy),Atlantic Records,148,148,2,1625257,Spring,April,27,Rap/HipHop
177,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,Republic Records,4,171,98,1605652,Spring,April,27,Rap/HipHop
178,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,7,168,61,1602929,Spring,April,27,Dance
179,spotify:track:51w9Jbat1pLeWINGCpnQUR,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Mad Love/Interscope Records,123,151,13,1598830,Spring,April,27,Rap/HipHop
180,spotify:track:39LmTF9RgyakzSYX8txrow,Ariana Grande,imagine,Republic Records,7,139,17,1582479,Spring,April,27,Pop
181,spotify:track:6foY66mWZN0pSRjZ408c00,Morgan Wallen,Whiskey Glasses,Big Loud Records,178,191,4,1566393,Spring,April,27,Country
182,spotify:track:2qGfZAgDe1pV2y5xJAhi6R,YoungBoy Never Broke Again,Slime Belief,"Never Broke Again, LLC",150,167,8,1527477,Spring,April,27,Rap/HipHop
183,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,15,169,85,1526829,Spring,April,27,Rap/HipHop
184,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,She Got the Best of Me,River House Artists/Columbia Nashville,163,200,6,1526360,Spring,April,27,Country
185,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,"YG, 2 Chainz, Big Sean, Nicki Minaj","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",Def Jam Recordings,24,172,46,1522632,Spring,April,27,Rap/HipHop
186,spotify:track:2swZ0X1njeU32SNJeBKIfW,Aventura,Inmortal,Sony Music Latin,186,-1,1,1519370,Spring,April,27,Musica Tropical
187,spotify:track:4QIyEq7TcTdAcxjI2AFlAK,"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,"Scumgang Records/TenThousand Projects, LLC",2,179,38,1512242,Spring,April,27,Rap/HipHop
188,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,Feeling,Grade A Productions/Interscope Records,55,165,5,1507498,Spring,April,27,Rap/HipHop
189,spotify:track:79esEXlqqmq0GPz0xQSZTV,Shawn Mendes,Lost In Japan,Island Records,22,180,21,1507155,Spring,April,27,Pop
190,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Cap¢, Farruko",Calma - Remix,Sony Music Latin,114,185,15,1499759,Spring,April,27,Pop Latino
191,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,21,194,96,1494891,Spring,April,27,Alternative
192,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track,Columbia,1,176,30,1491997,Spring,April,27,Rap/HipHop
193,spotify:track:6PfI6EeLNiNGVAVg11nv7D,Gunna,Speed It Up,300 Entertainment,55,192,8,1487811,Spring,April,27,Rap/HipHop
194,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,Heaven,RCA Records Label Nashville,60,-1,47,1484293,Spring,April,27,Country
195,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,11,197,105,1477026,Spring,April,27,Alternative
196,spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Marshmello, Khalid",Silence,Joytime Collective/RCA Records,10,-1,69,1471386,Spring,April,27,Dance
197,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,15,187,94,1471212,Spring,April,27,Pop
198,spotify:track:5nzhL67GpF9szXWg5y509A,Lil Baby,Close Friends (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",39,183,25,1469645,Spring,April,27,Rap/HipHop
199,spotify:track:0FQhAHyHGsrbSHvDURmFPn,Billie Eilish,my boy,Darkroom,147,154,14,1465147,Spring,April,27,Alternative
200,spotify:track:4EnEGf9JzAJhF1XNY9DJcD,"G-Eazy, Blueface, ALLBLACK, YG","West Coast (feat. Blueface, ALLBLACK & YG)",BPG/RVG/RCA Records,200,-1,1,1463743,Spring,April,27,Rap/HipHop
1,spotify:track:6vBdBCoOhKHiYDDOcorfNo,"Post Malone, Young Thug",Goodbyes (feat. Young Thug),Republic Records,1,-1,1,14539019,Summer,July,40,Rap/HipHop
2,spotify:track:0TK2YIli7K1leLovkQiNik,"Shawn Mendes, Camila Cabello",Se¤orita,Island Records,1,1,3,12280709,Summer,July,40,Pop
3,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,Columbia,2,2,3,9872012,Summer,July,40,Alternative
4,spotify:track:5ry2OE6R2zPQFDO85XkgRb,"Drake, Rick Ross",Money In The Grave (Drake ft. Rick Ross),Republic Records,1,3,4,9522200,Summer,July,40,Rap/HipHop
5,spotify:track:5qmq61DAAOUaW8AUo8xKhh,Lizzo,Truth Hurts,Nice Life/Atlantic,5,5,12,8771661,Summer,July,40,Pop
6,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,6,15,8366135,Summer,July,40,Alternative
7,spotify:track:1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,Ransom,Republic Records,7,8,7,7914144,Summer,July,40,Rap/HipHop
8,spotify:track:3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Universal Records,1,9,38,7211288,Summer,July,40,Rap/HipHop
9,spotify:track:4evmHXcjt3bTUHD1cvny97,"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),Atlantic Records UK,4,4,2,7014919,Summer,July,40,Pop
10,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,Columbia,1,7,14,6625744,Summer,July,40,Alternative
11,spotify:track:2gwkD6igEhQbDQegRCcdoB,DaBaby,Suge,South Coast Music Group/Interscope Records,4,13,15,6085342,Summer,July,40,Rap/HipHop
12,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,1,11,9,5854079,Summer,July,40,Pop
13,spotify:track:7DcvwMAiqKJQD1rrdfxSDx,"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),300 Entertainment/Atl,1,14,7,5708738,Summer,July,40,Rap/HipHop
14,spotify:track:4ak7xjvBeBOcJGWFDX9w5n,"Lil Nas X, Cardi B",Rodeo,Columbia,9,10,3,5623800,Summer,July,40,Rap/HipHop
15,spotify:track:6MF4tRr5lU8qok8IKaFOBE,"Dreamville, J. Cole, Lute, DaBaby",Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville/Interscope Records,15,-1,1,5465051,Summer,July,40,Rap/HipHop
16,spotify:track:4hPpVbbakQNv8YTHYaOJP4,"Marshmello, Kane Brown",One Thing Right,RCA Records Label Nashville,16,19,3,5097076,Summer,July,40,Dance
17,spotify:track:6uFn47ACjqYkc0jADwEdj1,"Polo G, Lil Tjay",Pop Out (feat. Lil Tjay),Columbia,8,16,16,5041624,Summer,July,40,Rap/HipHop
18,spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,Columbia,18,21,4,5001657,Summer,July,40,Rap/HipHop
19,spotify:track:29fRTIKsJhLUJoldM89GZS,Taylor Swift,You Need To Calm Down,Taylor Swift,2,12,4,4858592,Summer,July,40,Pop
20,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD,"Dreamville, Inc., Under exclusive license to Roc Nation Records",1,30,25,4725711,Summer,July,40,Rap/HipHop
21,spotify:track:6moU77g9RQyMzHNuKEaQKq,Ali Gatie,It's You,Warner Records,17,17,4,4699675,Summer,July,40,R&B/Soul
22,spotify:track:6TqXcAFInzjp0bODyvrWEq,"Khalid, Disclosure",Talk (feat. Disclosure),"Right Hand Music Group, LLC/RCA Records",6,20,22,4680637,Summer,July,40,R&B/Soul
23,spotify:track:36J0iaPDGbYGsHvYpaYs3k,"Dreamville, JID, Bas, J. Cole, EARTHGANG, Young Nudy","Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville/Interscope Records,23,128,4,4591997,Summer,July,40,Rap/HipHop
24,spotify:track:5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",EARFQUAKE,Columbia,1,18,8,4487441,Summer,July,40,Rap/HipHop
25,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown, Drake",No Guidance (feat. Drake),Chris Brown Entertainment/RCA Records,5,15,5,4412095,Summer,July,40,R&B/Soul
26,spotify:track:1kK6DwzyXJSp58u5HYWwuD,"YG, Tyga, Jon Z","Go Loko (feat. Tyga, Jon Z)",Def Jam Recordings,17,22,10,4380659,Summer,July,40,Rap/HipHop
27,spotify:track:6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow.,Republic Records,2,25,29,4148833,Summer,July,40,Rap/HipHop
28,spotify:track:05CwHjIk71RXVU40boRMnR,"The Chainsmokers, Bebe Rexha",Call You Mine,Disruptor Records/Columbia,23,23,6,4146357,Summer,July,40,Dance
29,spotify:track:6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,If I Can't Have You,Island Records,4,26,10,3949747,Summer,July,40,Pop
30,spotify:track:5PYQUBXc7NYeI1obMKSJK0,Katy Perry,Never Really Over,Capitol Records,10,24,6,3872125,Summer,July,40,Pop
31,spotify:track:5WnfnSpuNEGXyEt78PBA6d,"Dreamville, Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, Ski Mask The Slump God","Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville/Interscope Records,31,-1,1,3825437,Summer,July,40,Rap/HipHop
32,spotify:track:56JyMaElW79S7TDWh1Zw1m,Ashley O,On A Roll,RCA Records Label,32,33,4,3755478,Summer,July,40,Pop
33,spotify:track:3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,Sanguine Paradise,Generation Now/Atlantic,6,35,14,3647083,Summer,July,40,Rap/HipHop
34,spotify:track:5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,The Git Up,Broken Bow Records,34,45,4,3570469,Summer,July,40,Country
35,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,Jonas Brothers Recording,1,32,19,3533560,Summer,July,40,Pop
36,spotify:track:2gTdDMpNxIRFSiu7HutMCg,"Machine Gun Kelly, YUNGBLUD, Travis Barker",I Think I'm OKAY (with YUNGBLUD & Travis Barker),Bad Boy/Interscope Records,36,114,5,3518437,Summer,July,40,Rap/HipHop
37,spotify:track:1wJRveJZLSb1rjhnUHQiv6,"A Boogie Wit da Hoodie, 6ix9ine",Swervin (feat. 6ix9ine),Highbridge the Label / Atlantic Records,7,29,29,3371772,Summer,July,40,Rap/HipHop
38,spotify:track:43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over,Darkroom/Interscope Records,5,41,39,3356625,Summer,July,40,Alternative
39,spotify:track:0qc4QlcCxVTGyShurEv1UU,"Sam Feldt, RANI",Post Malone (feat. RANI),Spinnin' Records,39,52,3,3317092,Summer,July,40,Dance
40,spotify:track:3pZO6GoVPeSYDxxsH6vCdj,"Dreamville, J. Cole, Young Nudy",Sunset (with J. Cole feat. Young Nudy),Dreamville/Interscope Records,40,-1,1,3313845,Summer,July,40,Rap/HipHop
41,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,40,25,3303064,Summer,July,40,Pop
42,spotify:track:2zjGJ0dChMR0KxBZS15aqo,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie","Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",10 Summers Records/Interscope Records,42,50,2,3197664,Summer,July,40,Rap/HipHop
43,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,34,57,11,3187314,Summer,July,40,Alternative
44,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Meek Mill, Drake",Going Bad (feat. Drake),MMG/Atlantic,2,42,32,3140641,Summer,July,40,Rap/HipHop
45,spotify:track:0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,Only Human,Jonas Brothers Recording,12,36,5,3123581,Summer,July,40,Pop
46,spotify:track:3j84U36KvLeXNDPv4t5pI8,"Mustard, Migos",Pure Water (with Migos),10 Summers Records/Interscope Records,13,38,25,3117758,Summer,July,40,Rap/HipHop
47,spotify:track:7ILEWkpfdK6AjH2D7jppWk,"Chris Brown, Justin Bieber, Ink",Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown Entertainment/RCA Records,31,31,2,3088939,Summer,July,40,R&B/Soul
48,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,41,46,6,3069224,Summer,July,40,Urbano Latino
49,spotify:track:53CJANUxooaqGOtdsBTh7O,Lil Nas X,Old Town Road,Columbia,2,34,19,3046074,Summer,July,40,Alternative
50,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,44,43,3006963,Summer,July,40,Rap/HipHop
51,spotify:track:4no0eHn4fEB7tN1yZSXMma,Lil Nas X,C7osure (You Like),Columbia,51,79,3,2973155,Summer,July,40,Alternative
52,spotify:track:40OMBMYRk5IQL6xCzGM0JA,"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Epic Amsterdam,31,39,11,2944981,Summer,July,40,Alternative
53,spotify:track:6oJ6le65B3SEqPwMRNXWjY,"Kygo, Whitney Houston",Higher Love,Kygo/RCA Records,28,28,2,2926608,Summer,July,40,Dance
54,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,P2018,4,47,42,2881488,Summer,July,40,Rap/HipHop
55,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,51,64,2874819,Summer,July,40,Alternative
56,spotify:track:5ug4vqGZ3eisGhY1IsziNX,"Ed Sheeran, Yebba",Best Part of Me (feat. YEBBA),Atlantic Records UK,56,-1,1,2862891,Summer,July,40,Pop
57,spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Better,"Right Hand Music Group, LLC/RCA Records",9,49,43,2793895,Summer,July,40,R&B/Soul
58,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Astralwerks,8,54,47,2754952,Summer,July,40,Dance
59,spotify:track:25ZAibhr3bdlMCLmubZDVt,"J Balvin, Bad Bunny",QUE PRETENDES,Universal Music Latino / Rimas,27,27,2,2744681,Summer,July,40,Urbano Latino
60,spotify:track:6uAm7pG66O1XesXS9bpHSF,Lizzo,Good as Hell,Nice Life/Atlantic,60,95,4,2742439,Summer,July,40,Pop
61,spotify:track:5rU6kDNXZLXIinFezpbWbO,"NAV, Meek Mill",Tap (feat. Meek Mill),"XO Records, LLC and Republic Records",58,58,11,2718314,Summer,July,40,Rap/HipHop
62,spotify:track:7FGq80cy8juXBCD2nrqdWU,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Friends Keep Secrets/Interscope Records,10,53,52,2699574,Summer,July,40,Pop
63,spotify:track:6kls8cSlUyHW2BUOkDJIZE,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),Polydor Records,63,64,2,2692291,Summer,July,40,Pop
64,spotify:track:4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,Darkroom/Interscope Records,3,59,24,2677709,Summer,July,40,Alternative
65,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,56,62,2677203,Summer,July,40,Rap/HipHop
66,spotify:track:7njKgVl3AnLflRad38o7AG,Bazzi,Paradise,iamcosmic,20,55,14,2660163,Summer,July,40,Pop
67,spotify:track:2gtFMLjQpCTGekMi4oXZxN,"Dreamville, JID, EARTHGANG, Buddy, Guapdad 4000",Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville/Interscope Records,67,-1,1,2607937,Summer,July,40,Rap/HipHop
